Fecha,Casos (nuevos),Muertes (nuevos),Vacunados (nuevos-full),Cantidad de habitantes
2020-01-01,,,,45510324.0
2020-01-02,,,,45510324.0
2020-01-03,,,,45510324.0
2020-01-04,,,,45510324.0
2020-01-05,,,,45510324.0
2020-01-06,,,,45510324.0
2020-01-07,,,,45510324.0
2020-01-08,,,,45510324.0
2020-01-09,,,,45510324.0
2020-01-10,,,,45510324.0
2020-01-11,,,,45510324.0
2020-01-12,,,,45510324.0
2020-01-13,,,,45510324.0
2020-01-14,,,,45510324.0
2020-01-15,,,,45510324.0
2020-01-16,,,,45510324.0
2020-01-17,,,,45510324.0
2020-01-18,,,,45510324.0
2020-01-19,,,,45510324.0
2020-01-20,,,,45510324.0
2020-01-21,,,,45510324.0
2020-01-22,,,,45510324.0
2020-01-23,,,,45510324.0
2020-01-24,,,,45510324.0
2020-01-25,,,,45510324.0
2020-01-26,,,,45510324.0
2020-01-27,,,,45510324.0
2020-01-28,,,,45510324.0
2020-01-29,,,,45510324.0
2020-01-30,,,,45510324.0
2020-01-31,,,,45510324.0
2020-02-01,,,,45510324.0
2020-02-02,,,,45510324.0
2020-02-03,,,,45510324.0
2020-02-04,,,,45510324.0
2020-02-05,,,,45510324.0
2020-02-06,,,,45510324.0
2020-02-07,,,,45510324.0
2020-02-08,,,,45510324.0
2020-02-09,,,,45510324.0
2020-02-10,,,,45510324.0
2020-02-11,,,,45510324.0
2020-02-12,,,,45510324.0
2020-02-13,,,,45510324.0
2020-02-14,,,,45510324.0
2020-02-15,,,,45510324.0
2020-02-16,,,,45510324.0
2020-02-17,,,,45510324.0
2020-02-18,,,,45510324.0
2020-02-19,,,,45510324.0
2020-02-20,,,,45510324.0
2020-02-21,,,,45510324.0
2020-02-22,,,,45510324.0
2020-02-23,,,,45510324.0
2020-02-24,,,,45510324.0
2020-02-25,,,,45510324.0
2020-02-26,,,,45510324.0
2020-02-27,,,,45510324.0
2020-02-28,,,,45510324.0
2020-02-29,,,,45510324.0
2020-03-01,,,,45510324.0
2020-03-02,,,,45510324.0
2020-03-03,1.0,,,45510324.0
2020-03-04,0.0,,,45510324.0
2020-03-05,0.0,,,45510324.0
2020-03-06,1.0,,,45510324.0
2020-03-07,6.0,,,45510324.0
2020-03-08,4.0,1.0,,45510324.0
2020-03-09,0.0,0.0,,45510324.0
2020-03-10,5.0,0.0,,45510324.0
2020-03-11,2.0,0.0,,45510324.0
2020-03-12,0.0,0.0,,45510324.0
2020-03-13,12.0,1.0,,45510324.0
2020-03-14,3.0,0.0,,45510324.0
2020-03-15,11.0,0.0,,45510324.0
2020-03-16,11.0,0.0,,45510324.0
2020-03-17,12.0,0.0,,45510324.0
2020-03-18,11.0,0.0,,45510324.0
2020-03-19,18.0,1.0,,45510324.0
2020-03-20,31.0,0.0,,45510324.0
2020-03-21,30.0,1.0,,45510324.0
2020-03-22,108.0,0.0,,45510324.0
2020-03-23,35.0,0.0,,45510324.0
2020-03-24,86.0,2.0,,45510324.0
2020-03-25,0.0,2.0,,45510324.0
2020-03-26,115.0,1.0,,45510324.0
2020-03-27,87.0,4.0,,45510324.0
2020-03-28,101.0,5.0,,45510324.0
2020-03-29,55.0,1.0,,45510324.0
2020-03-30,75.0,4.0,,45510324.0
2020-03-31,234.0,4.0,,45510324.0
2020-04-01,0.0,1.0,,45510324.0
2020-04-02,79.0,8.0,,45510324.0
