Entity,Code,Day,people_vaccinated,145608-annotations
Argentina,ARG,2020-12-29,20487,
Argentina,ARG,2020-12-30,40585,
Argentina,ARG,2020-12-31,43391,
Argentina,ARG,2021-01-01,43519,
Argentina,ARG,2021-01-02,46828,
Argentina,ARG,2021-01-03,47269,
Argentina,ARG,2021-01-04,57724,
Argentina,ARG,2021-01-05,68450,
Argentina,ARG,2021-01-06,78561,
Argentina,ARG,2021-01-07,96784,
Argentina,ARG,2021-01-08,124670,
Argentina,ARG,2021-01-09,134877,
Argentina,ARG,2021-01-10,136051,
Argentina,ARG,2021-01-11,155871,
Argentina,ARG,2021-01-12,175244,
Argentina,ARG,2021-01-13,192016,
Argentina,ARG,2021-01-14,208663,
Argentina,ARG,2021-01-15,226102,
Argentina,ARG,2021-01-16,231985,
Argentina,ARG,2021-01-17,233042,
Argentina,ARG,2021-01-18,242862,
Argentina,ARG,2021-01-19,250677,
Argentina,ARG,2021-01-20,256588,
Argentina,ARG,2021-01-21,261388,
Argentina,ARG,2021-01-22,266412,
Argentina,ARG,2021-01-23,267525,
Argentina,ARG,2021-01-24,267616,
Argentina,ARG,2021-01-25,274739,
Argentina,ARG,2021-01-26,280060,
Argentina,ARG,2021-01-27,284152,
Argentina,ARG,2021-01-28,285595,
Argentina,ARG,2021-01-29,287057,
Argentina,ARG,2021-01-30,287259,
Argentina,ARG,2021-01-31,287267,
Argentina,ARG,2021-02-01,289540,
Argentina,ARG,2021-02-02,295184,
Argentina,ARG,2021-02-03,305594,
Argentina,ARG,2021-02-04,315923,
Argentina,ARG,2021-02-05,329815,
Argentina,ARG,2021-02-06,332893,
Argentina,ARG,2021-02-07,333464,
Argentina,ARG,2021-02-08,349936,
Argentina,ARG,2021-02-09,364204,
Argentina,ARG,2021-02-10,375218,
Argentina,ARG,2021-02-11,379885,
Argentina,ARG,2021-02-12,384145,
Argentina,ARG,2021-02-13,384508,
Argentina,ARG,2021-02-14,384532,
Argentina,ARG,2021-02-15,385612,
Argentina,ARG,2021-02-16,386650,
Argentina,ARG,2021-02-17,406313,
Argentina,ARG,2021-02-18,458585,
Argentina,ARG,2021-02-19,518938,
Argentina,ARG,2021-02-20,550016,
Argentina,ARG,2021-02-21,570160,
Argentina,ARG,2021-02-22,636013,
Argentina,ARG,2021-02-23,718862,
Argentina,ARG,2021-02-24,806225,
Argentina,ARG,2021-02-25,874264,
Argentina,ARG,2021-02-26,944943,
Argentina,ARG,2021-02-27,960834,
Argentina,ARG,2021-02-28,966646,
Argentina,ARG,2021-03-01,1033885,
Argentina,ARG,2021-03-02,1102316,
Argentina,ARG,2021-03-03,1166621,
Argentina,ARG,2021-03-04,1265078,
Argentina,ARG,2021-03-05,1364002,
Argentina,ARG,2021-03-06,1415155,
Argentina,ARG,2021-03-07,1426868,
Argentina,ARG,2021-03-08,1526881,
Argentina,ARG,2021-03-09,1640374,
Argentina,ARG,2021-03-10,1798027,
Argentina,ARG,2021-03-11,1952083,
Argentina,ARG,2021-03-12,2070042,
Argentina,ARG,2021-03-13,2089154,
Argentina,ARG,2021-03-14,2097086,
Argentina,ARG,2021-03-15,2206094,
Argentina,ARG,2021-03-16,2317714,
Argentina,ARG,2021-03-17,2439092,
Argentina,ARG,2021-03-18,2534644,
Argentina,ARG,2021-03-19,2624763,
Argentina,ARG,2021-03-20,2662856,
Argentina,ARG,2021-03-21,2681170,
Argentina,ARG,2021-03-22,2751461,
Argentina,ARG,2021-03-23,2845425,
Argentina,ARG,2021-03-24,2881652,
Argentina,ARG,2021-03-25,2969440,
Argentina,ARG,2021-03-26,3052631,
Argentina,ARG,2021-03-27,3104579,
Argentina,ARG,2021-03-28,3125349,
Argentina,ARG,2021-03-29,3240765,
Argentina,ARG,2021-03-30,3398490,
Argentina,ARG,2021-03-31,3568596,
Argentina,ARG,2021-04-01,3683639,
Argentina,ARG,2021-04-02,3750788,
Argentina,ARG,2021-04-03,3824728,
Argentina,ARG,2021-04-04,3873117,
Argentina,ARG,2021-04-05,4029511,
Argentina,ARG,2021-04-06,4215426,
Argentina,ARG,2021-04-07,4447323,
Argentina,ARG,2021-04-08,4678395,
Argentina,ARG,2021-04-09,4906641,
Argentina,ARG,2021-04-10,4994241,
Argentina,ARG,2021-04-11,5041037,
Argentina,ARG,2021-04-12,5214239,
Argentina,ARG,2021-04-13,5375714,
Argentina,ARG,2021-04-14,5532516,
Argentina,ARG,2021-04-15,5662500,
Argentina,ARG,2021-04-16,5778051,
Argentina,ARG,2021-04-17,5818360,
Argentina,ARG,2021-04-18,5838132,
Argentina,ARG,2021-04-19,5914241,
Argentina,ARG,2021-04-20,6021253,
Argentina,ARG,2021-04-21,6180475,
Argentina,ARG,2021-04-22,6344930,
Argentina,ARG,2021-04-23,6527067,
Argentina,ARG,2021-04-24,6617885,
Argentina,ARG,2021-04-25,6667015,
Argentina,ARG,2021-04-26,6833137,
Argentina,ARG,2021-04-27,6981728,
Argentina,ARG,2021-04-28,7117371,
Argentina,ARG,2021-04-29,7239965,
Argentina,ARG,2021-04-30,7322039,
Argentina,ARG,2021-05-01,7338843,
Argentina,ARG,2021-05-02,7364965,
Argentina,ARG,2021-05-03,7462647,
Argentina,ARG,2021-05-04,7599491,
Argentina,ARG,2021-05-05,7764397,
Argentina,ARG,2021-05-06,7902655,
Argentina,ARG,2021-05-07,8011968,
Argentina,ARG,2021-05-08,8044407,
Argentina,ARG,2021-05-09,8060004,
Argentina,ARG,2021-05-10,8137423,
Argentina,ARG,2021-05-11,8213430,
Argentina,ARG,2021-05-12,8265862,
Argentina,ARG,2021-05-13,8303529,
Argentina,ARG,2021-05-14,8343961,
Argentina,ARG,2021-05-15,8388606,
Argentina,ARG,2021-05-16,8412923,
Argentina,ARG,2021-05-17,8503022,
Argentina,ARG,2021-05-18,8657273,
Argentina,ARG,2021-05-19,8788591,
Argentina,ARG,2021-05-20,8929059,
Argentina,ARG,2021-05-21,9020622,
Argentina,ARG,2021-05-22,9077532,
Argentina,ARG,2021-05-23,9099908,
Argentina,ARG,2021-05-24,9168330,
Argentina,ARG,2021-05-25,9205253,
Argentina,ARG,2021-05-26,9294132,
Argentina,ARG,2021-05-27,9382016,
Argentina,ARG,2021-05-28,9506660,
Argentina,ARG,2021-05-29,9672864,
Argentina,ARG,2021-05-30,9785113,
Argentina,ARG,2021-05-31,10021913,
Argentina,ARG,2021-06-01,10284950,
Argentina,ARG,2021-06-02,10543040,
Argentina,ARG,2021-06-03,10857299,
Argentina,ARG,2021-06-04,11220887,
Argentina,ARG,2021-06-05,11527599,
Argentina,ARG,2021-06-06,11732238,
Argentina,ARG,2021-06-07,12037753,
Argentina,ARG,2021-06-08,12372555,
Argentina,ARG,2021-06-09,12722031,
Argentina,ARG,2021-06-10,13038709,
Argentina,ARG,2021-06-11,13359261,
Argentina,ARG,2021-06-12,13464337,
Argentina,ARG,2021-06-13,13503320,
Argentina,ARG,2021-06-14,13657498,
Argentina,ARG,2021-06-15,13831037,
Argentina,ARG,2021-06-16,14044633,
Argentina,ARG,2021-06-17,14293881,
Argentina,ARG,2021-06-18,14647931,
Argentina,ARG,2021-06-19,14859870,
Argentina,ARG,2021-06-20,14954906,
Argentina,ARG,2021-06-21,15100814,
Argentina,ARG,2021-06-22,15350504,
Argentina,ARG,2021-06-23,15584479,
Argentina,ARG,2021-06-24,15854990,
Argentina,ARG,2021-06-25,16161269,
Argentina,ARG,2021-06-26,16399740,
Argentina,ARG,2021-06-27,16554912,
Argentina,ARG,2021-06-28,16875954,
Argentina,ARG,2021-06-29,17202542,
Argentina,ARG,2021-06-30,17542062,
Argentina,ARG,2021-07-01,17857433,
Argentina,ARG,2021-07-02,18188659,
Argentina,ARG,2021-07-03,18440814,
Argentina,ARG,2021-07-04,18615485,
Argentina,ARG,2021-07-05,18851848,
Argentina,ARG,2021-07-06,19125301,
Argentina,ARG,2021-07-07,19416796,
Argentina,ARG,2021-07-08,19786903,
Argentina,ARG,2021-07-09,20040047,
Argentina,ARG,2021-07-10,20340896,
Argentina,ARG,2021-07-11,20498409,
Argentina,ARG,2021-07-12,20856607,
Argentina,ARG,2021-07-13,21222082,
Argentina,ARG,2021-07-14,21586275,
Argentina,ARG,2021-07-15,21930513,
Argentina,ARG,2021-07-16,22286519,
Argentina,ARG,2021-07-17,22515859,
Argentina,ARG,2021-07-18,22646799,
Argentina,ARG,2021-07-19,22980090,
Argentina,ARG,2021-07-20,23220411,
Argentina,ARG,2021-07-21,23543122,
Argentina,ARG,2021-07-22,23865028,
Argentina,ARG,2021-07-23,24184032,
Argentina,ARG,2021-07-24,24370506,
Argentina,ARG,2021-07-25,24496138,
Argentina,ARG,2021-07-26,24740562,
Argentina,ARG,2021-07-27,24943174,
Argentina,ARG,2021-07-28,25197658,
Argentina,ARG,2021-07-29,25430279,
Argentina,ARG,2021-07-30,25648842,
Argentina,ARG,2021-07-31,25771469,
Argentina,ARG,2021-08-01,25845305,
Argentina,ARG,2021-08-02,26022292,
Argentina,ARG,2021-08-03,26230820,
Argentina,ARG,2021-08-04,26409673,
Argentina,ARG,2021-08-05,26563190,
Argentina,ARG,2021-08-06,26694334,
Argentina,ARG,2021-08-07,26766888,
Argentina,ARG,2021-08-08,26800474,
Argentina,ARG,2021-08-09,26911625,
Argentina,ARG,2021-08-10,27014265,
Argentina,ARG,2021-08-11,27105990,
Argentina,ARG,2021-08-12,27185080,
Argentina,ARG,2021-08-13,27255916,
Argentina,ARG,2021-08-14,27293211,
Argentina,ARG,2021-08-15,27323177,
Argentina,ARG,2021-08-16,27371862,
Argentina,ARG,2021-08-17,27490816,
Argentina,ARG,2021-08-18,27598680,
Argentina,ARG,2021-08-19,27715237,
Argentina,ARG,2021-08-20,27835044,
Argentina,ARG,2021-08-21,27889388,
Argentina,ARG,2021-08-22,27912811,
Argentina,ARG,2021-08-23,28035363,
