,Susceptible,Infected,Recovered,Vaccinated
0,0.9725007,1e-15,1e-15,0.027499326
1,0.90243423,1e-15,1e-15,0.097565785
2,0.8977345,1e-15,1e-15,0.10226551
3,0.8917804,1.4411889e-05,1e-15,0.108205184
4,0.88771504,6.305292e-07,1.4412097e-05,0.11226986
5,0.8837009,1.8015132e-06,1.5042635e-05,0.11628227
6,0.87842315,1.4412133e-06,1.6844178e-05,0.121558584
7,0.87152475,2.4320507e-06,1.8285416e-05,0.12845452
8,0.86529136,1.4412188e-06,2.071752e-05,0.13468648
9,0.86030394,1.7114497e-06,2.2158769e-05,0.13967213
10,0.85601586,1.450231e-05,2.3870263e-05,0.14394578
11,0.8513917,1.0000384e-15,3.8373128e-05,0.14856994
12,0.8455169,1.684454e-05,3.8373128e-05,0.15442789
13,0.83955437,4.503964e-07,5.52186e-05,0.16038994
14,0.8342561,6.305553e-07,5.566902e-05,0.16568758
15,0.8288657,1.0809526e-06,5.6299617e-05,0.17107697
16,0.82467794,1.0809538e-06,5.7380625e-05,0.17526358
17,0.82005596,5.404774e-07,5.8461643e-05,0.17988503
18,0.8152952,1.000059e-15,5.9002152e-05,0.18464574
19,0.80869025,1.891672e-06,5.900215e-05,0.19124885
20,0.7957262,9.908777e-07,6.0893937e-05,0.20421188
21,0.78684616,9.007988e-07,6.188488e-05,0.21309108
22,0.7796083,1.7475513e-05,6.278574e-05,0.22031145
23,0.7782956,9.908969e-06,8.026265e-05,0.22161427
24,0.77717954,1.891731e-06,9.017251e-05,0.22272834
25,0.77608395,1.801652e-06,9.2064416e-05,0.2238222
26,0.77494687,9.008276e-08,9.3866234e-05,0.22495916
27,0.7738206,4.5041386e-07,9.3956325e-05,0.22608505
28,0.77276707,1.8016561e-07,9.440678e-05,0.2271383
29,0.7718713,1.0000946e-15,9.458696e-05,0.22803403
30,0.77135795,1.8016564e-07,9.458696e-05,0.22854725
31,0.7713199,1.0000948e-15,9.476715e-05,0.2285853
32,0.7713191,1.0000948e-15,9.476715e-05,0.22858612
33,0.7713184,1.0000948e-15,9.476715e-05,0.22858684
34,0.7713087,9.188449e-06,9.476715e-05,0.22858728
35,0.7713021,4.324016e-06,0.00010395655,0.22858956
36,0.77130073,1.0001082e-15,0.00010828104,0.228591
37,0.77130026,2.7025217e-07,0.00010828104,0.22859117
38,0.7712995,1.0001086e-15,0.00010855133,0.22859198
39,0.7685877,8.680542e-16,0.00010855133,0.23130372
40,0.7658855,7.5315475e-16,0.00010855133,0.23400591
41,0.76319283,6.532206e-16,0.00010855133,0.23669863
42,0.7605096,5.663362e-16,0.00010855133,0.23938188
43,0.7578358,4.9082653e-16,0.00010855133,0.24205568
44,0.75517136,4.252276e-16,0.00010855132,0.24472009
45,0.7525163,3.682606e-16,0.00010855132,0.24737512
46,0.74987066,3.1880843e-16,0.00010855132,0.25002083
47,0.7472342,2.7589615e-16,0.00010855133,0.25265723
48,0.74460715,2.38673e-16,0.00010855133,0.25528434
49,0.74198925,2.0639694e-16,0.00010855133,0.25790223
50,0.73938054,1.7842098e-16,0.00010855133,0.26051092
51,0.736781,1.5418136e-16,0.00010855133,0.26311046
52,0.73419064,1.3318693e-16,0.00010855133,0.26570082
53,0.73160934,1.1501001e-16,0.00010855133,0.26828212
54,0.7290371,9.9278316e-17,0.00010855133,0.2708543
55,0.726474,8.566796e-17,0.00010855133,0.27341744
56,0.72391987,7.389724e-17,0.000108551336,0.2759716
57,0.7213747,6.372124e-17,0.000108551336,0.27851674
58,0.71883845,5.4927142e-17,0.000108551336,0.28105298
59,0.71631116,4.733004e-17,0.00010855133,0.28358024
60,0.7137928,4.0769416e-17,0.00010855133,0.2860987
61,0.7112832,3.510591e-17,0.00010855133,0.28860825
62,0.70878243,3.0218622e-17,0.00010855133,0.291109
63,0.70629054,2.6002684e-17,0.00010855133,0.29360095
64,0.70380735,2.2367182e-17,0.00010855132,0.2960841
65,0.70133287,1.9233332e-17,0.00010855132,0.29855856
66,0.69886714,1.6532872e-17,0.00010855132,0.30102432
67,0.69641006,1.4206698e-17,0.00010855133,0.30348143
68,0.69396156,1.2203641e-17,0.00010855133,0.30592987
69,0.69152176,1.0479432e-17,0.00010855133,0.3083697
70,0.68909055,8.995772e-18,0.00010855133,0.31080097
71,0.6866678,7.719551e-18,0.00010855133,0.31322366
72,0.68425363,6.622152e-18,0.00010855133,0.31563786
73,0.6818479,5.6788447e-18,0.00010855133,0.31804356
74,0.67945063,4.8682755e-18,0.00010855133,0.3204408
75,0.67706186,4.172008e-18,0.00010855133,0.3228296
76,0.6746814,3.57413e-18,0.00010855133,0.32521003
77,0.6723094,3.060915e-18,0.00010855133,0.3275821
78,0.6699457,2.6205251e-18,0.00010855133,0.32994577
79,0.66759026,2.242756e-18,0.00010855133,0.3323012
80,0.66524315,1.9188138e-18,0.00010855133,0.3346483
81,0.66290426,1.6411228e-18,0.00010855132,0.33698717
82,0.6605736,1.4031603e-18,0.000108551314,0.3393178
83,0.65825117,1.1993116e-18,0.000108551314,0.34164026
84,0.6559369,1.0247445e-18,0.000108551314,0.34395453
85,0.65363073,8.753034e-19,0.00010855132,0.3462607
86,0.65133274,7.4741424e-19,0.00010855133,0.34855875
87,0.6490428,6.380054e-19,0.00010855133,0.3508487
88,0.6467608,5.4443746e-19,0.00010855133,0.35313064
89,0.64448696,4.6444335e-19,0.00010855132,0.3554045
90,0.64222103,3.9607657e-19,0.00010855132,0.3576704
91,0.63996315,3.376662e-19,0.00010855133,0.35992834
92,0.63771313,2.8777851e-19,0.00010855132,0.3621783
93,0.6354711,2.45184e-19,0.00010855133,0.36442038
94,0.6332369,2.0882822e-19,0.00010855132,0.36665455
95,0.6310106,1.778075e-19,0.00010855133,0.3688809
96,0.62879205,1.5134745e-19,0.00010855132,0.3710994
97,0.6265814,1.2878487e-19,0.00010855133,0.37331012
98,0.62437844,1.0955184e-19,0.00010855133,0.37551305
99,0.62218326,9.316225e-20,0.00010855133,0.37770823
100,0.6199958,7.9200185e-20,0.00010855133,0.37989572
101,0.617816,6.730988e-20,0.00010855133,0.38207552
102,0.61564386,5.7187125e-20,0.00010855133,0.38424763
103,0.6134794,4.8571884e-20,0.00010855133,0.3864121
104,0.61132246,4.1241955e-20,0.00010855132,0.38856897
105,0.6091732,3.5007544e-20,0.00010855132,0.39071825
106,0.60703146,2.970657e-20,0.000108551314,0.39285997
107,0.60489726,2.5200684e-20,0.000108551314,0.39499417
