,Susceptible,Infected,Recovered,Vaccinated
0,0.9725007,1e-15,1e-15,0.027499326
1,0.90243423,1e-15,1e-15,0.097565785
2,0.8977345,1e-15,1e-15,0.10226551
3,0.8917937,1.0808917e-06,1e-15,0.108205184
4,0.8877296,1e-15,1.0808917e-06,0.112268254
5,0.8837173,1e-15,1.0808917e-06,0.116280526
6,0.8784409,3.6029724e-07,1.0808917e-06,0.121556535
7,0.87154484,9.007431e-08,1.4411889e-06,0.12845218
8,0.86531305,1.8014862e-07,1.5312633e-06,0.1346837
9,0.86032754,1e-15,1.7114119e-06,0.13966905
10,0.8560532,1.0808917e-06,1.7114119e-06,0.14394234
11,0.8514302,1e-15,2.7923036e-06,0.14856423
12,0.8455725,1e-15,2.7923036e-06,0.15442196
13,0.8396133,1e-15,2.7923036e-06,0.1603811
14,0.8343048,1.1259288e-05,2.7923036e-06,0.16567835
15,0.8288933,1.1259288e-05,1.4051592e-05,0.17106733
16,0.8246958,1e-15,2.5310881e-05,0.17525353
17,0.82007486,1e-15,2.5310881e-05,0.17987452
18,0.81531453,1e-15,2.5310881e-05,0.18463485
19,0.80870944,2.341932e-06,2.5310881e-05,0.19123757
20,0.79574317,2.071709e-06,2.7652812e-05,0.20419945
21,0.78685933,3.3327494e-06,2.972452e-05,0.21307789
22,0.7796222,1.4051592e-05,3.305727e-05,0.22029762
23,0.77830505,4.2334923e-06,4.7108864e-05,0.22159648
24,0.77718705,1.9816348e-06,5.1342355e-05,0.22270827
25,0.7760911,6.3052016e-07,5.332399e-05,0.2238016
26,0.774954,1e-15,5.395451e-05,0.22493806
27,0.7738282,9.007431e-08,5.395451e-05,0.22606382
28,0.77277505,1e-15,5.4044584e-05,0.22711687
29,0.77187943,1e-15,5.4044584e-05,0.22801247
30,0.7713663,1e-15,5.4044584e-05,0.22852564
31,0.7713283,1e-15,5.4044584e-05,0.22856364
32,0.77132744,1e-15,5.4044584e-05,0.22856446
33,0.7713267,1e-15,5.4044584e-05,0.22856517
34,0.7713193,6.9357216e-06,5.4044584e-05,0.22856562
35,0.77131224,1e-15,6.0980306e-05,0.22856581
36,0.77131176,1e-15,6.0980306e-05,0.22856626
37,0.7713116,1e-15,6.0980306e-05,0.22856644
38,0.77131087,1e-15,6.0980306e-05,0.22856715
39,0.76678777,8.249368e-16,6.0980306e-05,0.23309025
40,0.7622912,6.7924075e-16,6.0980306e-05,0.23758683
41,0.75782096,5.582289e-16,6.0980306e-05,0.24205703
42,0.75337696,4.579202e-16,6.0980306e-05,0.24650101
43,0.748959,3.7493794e-16,6.0980306e-05,0.25091895
44,0.744567,3.064251e-16,6.0980306e-05,0.25531098
45,0.7402007,2.4997e-16,6.0980306e-05,0.25967726
46,0.73586005,2.0354165e-16,6.0980306e-05,0.26401794
47,0.73154485,1.6543358e-16,6.0980306e-05,0.26833314
48,0.7272549,1.342154e-16,6.0980306e-05,0.27262303
49,0.72299016,1.08690725e-16,6.0980306e-05,0.27688777
50,0.7187504,8.786124e-17,6.0980306e-05,0.2811275
51,0.71453553,7.089572e-17,6.0980306e-05,0.2853424
52,0.7103454,5.7103626e-17,6.0980306e-05,0.28953254
53,0.7061798,4.5912577e-17,6.0980306e-05,0.29369813
54,0.70203865,3.6849116e-17,6.0980306e-05,0.29783928
55,0.69792175,2.9522496e-17,6.0980306e-05,0.30195615
56,0.693829,2.3610914e-17,6.0980306e-05,0.30604887
57,0.68976027,1.8849916e-17,6.0980306e-05,0.3101176
58,0.6857154,1.5022634e-17,6.0980306e-05,0.31416246
59,0.6816942,1.1951596e-17,6.0980306e-05,0.3181836
60,0.67769665,9.491875e-18,6.0980306e-05,0.32218117
61,0.6737225,7.525364e-18,6.0980306e-05,0.3261553
62,0.6697717,5.9560114e-18,6.0980306e-05,0.33010614
63,0.665844,4.7058624e-18,6.0980306e-05,0.3340338
64,0.6619394,3.711775e-18,6.0980306e-05,0.3379384
65,0.65805763,2.922711e-18,6.0980306e-05,0.34182012
66,0.65419865,2.2974975e-18,6.0980306e-05,0.34567907
67,0.6503623,1.8029851e-18,6.0980306e-05,0.3495154
68,0.64654845,1.4125385e-18,6.0980306e-05,0.35332924
69,0.642757,1.1047972e-18,6.0980306e-05,0.35712072
70,0.6389878,8.6266475e-19,6.0980306e-05,0.36088997
71,0.6352407,6.7248367e-19,6.0980306e-05,0.3646371
72,0.6315155,5.2336493e-19,6.0980306e-05,0.36836228
73,0.6278122,4.066435e-19,6.0980306e-05,0.3720656
74,0.6241306,3.1543677e-19,6.0980306e-05,0.3757472
75,0.6204706,2.4428856e-19,6.0980306e-05,0.37940723
76,0.616832,1.8888142e-19,6.0980306e-05,0.38304576
77,0.6132148,1.4580541e-19,6.0980306e-05,0.38666296
78,0.6096188,1.1237232e-19,6.0980306e-05,0.39025897
79,0.6060439,8.646678e-20,6.0980306e-05,0.39383388
80,0.60248995,6.642729e-20,6.0980306e-05,0.39738783
81,0.5989568,5.095115e-20,6.0980306e-05,0.40092093
82,0.59544444,3.9018866e-20,6.0980306e-05,0.4044333
83,0.5919527,2.9833994e-20,6.0980306e-05,0.4079251
84,0.58848137,2.2775465e-20,6.0980306e-05,0.4113964
85,0.58503044,1.7359815e-20,6.0980306e-05,0.41484737
86,0.5815997,1.321137e-20,6.0980306e-05,0.4182781
87,0.57818913,1.0038723e-20,6.0980306e-05,0.4216887
88,0.5747985,7.616226e-21,6.0980306e-05,0.42507932
89,0.5714278,5.769455e-21,6.0980306e-05,0.42845005
90,0.56807685,4.3638143e-21,6.0980306e-05,0.431801
91,0.56474555,3.295621e-21,6.0980306e-05,0.4351323
92,0.5614338,2.4851383e-21,6.0980306e-05,0.43844405
93,0.55814147,1.8711518e-21,6.0980306e-05,0.4417364
94,0.55486846,1.4067455e-21,6.0980306e-05,0.44500944
95,0.55161464,1.0560219e-21,6.0980306e-05,0.4482633
96,0.5483799,7.9156035e-22,6.0980306e-05,0.45149806
97,0.5451641,5.9245e-22,6.0980306e-05,0.45471385
98,0.54196715,4.427706e-22,6.0980306e-05,0.45791078
99,0.538789,3.3042132e-22,6.0980306e-05,0.46108896
100,0.53562945,2.4621947e-22,6.0980306e-05,0.4642485
101,0.5324884,1.8320804e-22,6.0980306e-05,0.46738952
102,0.5293658,1.361248e-22,6.0980306e-05,0.47051212
103,0.5262615,1.00995823e-22,6.0980306e-05,0.47361642
104,0.5231754,7.4824826e-23,6.0980306e-05,0.4767025
