,Susceptible,Infected,Recovered,Vaccinated
0,0.9993742,1e-15,1e-15,0.0006258053
1,0.99903464,1e-15,1e-15,0.0009653761
2,0.9987246,1e-15,1e-15,0.0012754238
3,0.9984148,1e-15,1e-15,0.0015851902
4,0.9981239,1e-15,1e-15,0.0018761397
5,0.99783194,1e-15,1e-15,0.002168084
6,0.9975083,2.5954458e-07,1e-15,0.0024914767
7,0.9972014,1.9465844e-07,2.5954458e-07,0.0027978907
8,0.9968981,1e-15,4.5420305e-07,0.0031009738
9,0.9966212,1e-15,4.5420305e-07,0.003377908
10,0.9963472,9.084061e-07,4.5420305e-07,0.0036509922
11,0.99603915,1e-15,1.362609e-06,0.003958098
12,0.99575305,1e-15,1.362609e-06,0.0042442246
13,0.99543715,1e-15,1.362609e-06,0.004560112
14,0.9951252,4.6285454e-06,1.362609e-06,0.004867478
15,0.99481404,1e-15,5.9911545e-06,0.005174
16,0.99452376,5.169263e-06,5.9911545e-06,0.0054591093
17,0.9942181,9.192204e-06,1.1160418e-05,0.005750405
18,0.9939181,1.41884375e-05,2.0352622e-05,0.006026993
19,0.9936242,1.3842378e-05,3.454106e-05,0.006292853
20,0.9933474,1.9509102e-05,4.8383437e-05,0.006536306
21,0.9930854,1.4707527e-05,6.789254e-05,0.0067641214
22,0.9926826,0.0001196068,8.260007e-05,0.0070325984
23,0.9922743,1.5248244e-05,0.00020220687,0.007306072
24,0.99202836,9.2138325e-06,0.0002174551,0.00752755
25,0.9918406,4.0013124e-06,0.00022666894,0.0077020507
26,0.9916665,1.533476e-05,0.00023067025,0.007856804
27,0.9914595,1.9941675e-05,0.00024600502,0.0080285575
28,0.9912483,4.6934315e-06,0.0002659467,0.008215127
29,0.9910529,8.5866e-06,0.00027064013,0.008397197
30,0.9908633,1.2047195e-05,0.00027922672,0.008566204
31,0.99067545,1e-15,0.00029127393,0.008742024
32,0.9905302,1e-15,0.00029127393,0.00888724
33,0.99038064,4.6934315e-06,0.00029127393,0.009032109
34,0.9901172,0.00010753798,0.00029596736,0.009183336
35,0.9898324,1e-15,0.0004035053,0.0093605835
36,0.9896553,1e-15,0.0004035053,0.00953768
37,0.9894626,1e-15,0.0004035053,0.009730391
38,0.9892815,1e-15,0.0004035053,0.00991151
39,0.98866385,1.0144093e-15,0.0004035053,0.010529107
40,0.98804665,1.0290165e-15,0.0004035053,0.011146319
41,0.9874298,1.0438241e-15,0.0004035053,0.011763146
42,0.98681337,1.0588347e-15,0.0004035053,0.012379588
