Entity,Code,Year,Birth rate - Sex: all - Age: all - Variant: estimates
Argentina,ARG,1950,25.999
Argentina,ARG,1951,25.906
Argentina,ARG,1952,25.753
Argentina,ARG,1953,25.571
Argentina,ARG,1954,25.318
Argentina,ARG,1955,25.12
Argentina,ARG,1956,25.012
Argentina,ARG,1957,25.038
Argentina,ARG,1958,24.385
Argentina,ARG,1959,24.07
Argentina,ARG,1960,23.784
Argentina,ARG,1961,23.638
Argentina,ARG,1962,23.798
Argentina,ARG,1963,23.663
Argentina,ARG,1964,23.437
Argentina,ARG,1965,23.259
Argentina,ARG,1966,23.141
Argentina,ARG,1967,23.061
Argentina,ARG,1968,22.987
Argentina,ARG,1969,23.185
Argentina,ARG,1970,23.472
Argentina,ARG,1971,23.635
Argentina,ARG,1972,23.94
Argentina,ARG,1973,24.343
Argentina,ARG,1974,24.739
Argentina,ARG,1975,25.092
Argentina,ARG,1976,25.305
Argentina,ARG,1977,25.37
Argentina,ARG,1978,25.257
Argentina,ARG,1979,24.985
Argentina,ARG,1980,24.573
Argentina,ARG,1981,24.104
Argentina,ARG,1982,23.617
Argentina,ARG,1983,23.209
Argentina,ARG,1984,22.876
Argentina,ARG,1985,22.61
Argentina,ARG,1986,22.404
Argentina,ARG,1987,22.232
Argentina,ARG,1988,22.069
Argentina,ARG,1989,21.907
Argentina,ARG,1990,21.989
Argentina,ARG,1991,21.844
Argentina,ARG,1992,21.683
Argentina,ARG,1993,21.57
Argentina,ARG,1994,21.419
Argentina,ARG,1995,20.974
Argentina,ARG,1996,20.449
Argentina,ARG,1997,19.985
Argentina,ARG,1998,19.738
Argentina,ARG,1999,19.674
Argentina,ARG,2000,19.366
Argentina,ARG,2001,18.983
Argentina,ARG,2002,18.756
Argentina,ARG,2003,18.453
Argentina,ARG,2004,18.352
Argentina,ARG,2005,18.353
Argentina,ARG,2006,18.194
Argentina,ARG,2007,18.005
Argentina,ARG,2008,17.812
Argentina,ARG,2009,17.849
Argentina,ARG,2010,17.87
Argentina,ARG,2011,17.806
Argentina,ARG,2012,17.729
Argentina,ARG,2013,17.632
Argentina,ARG,2014,17.504
Argentina,ARG,2015,17.346
Argentina,ARG,2016,16.824
Argentina,ARG,2017,16.206
Argentina,ARG,2018,15.187
Argentina,ARG,2019,14.783
Argentina,ARG,2020,14.125
Argentina,ARG,2021,13.902
