Entity,Code,Year,Birth rate - Sex: all - Age: all - Variant: estimates
Argentina,ARG,1922,9345749
Argentina,ARG,1923,9625115
Argentina,ARG,1924,9912832
Argentina,ARG,1925,10209150
Argentina,ARG,1926,10514325
Argentina,ARG,1927,10828623
Argentina,ARG,1928,11152315
Argentina,ARG,1929,11456721
Argentina,ARG,1930,11740751
Argentina,ARG,1931,12003277
Argentina,ARG,1932,12243128
Argentina,ARG,1933,12459087
Argentina,ARG,1934,12678855
Argentina,ARG,1935,12902500
Argentina,ARG,1936,13130090
Argentina,ARG,1937,13361694
Argentina,ARG,1938,13597383
Argentina,ARG,1939,13841849
Argentina,ARG,1940,14095334
Argentina,ARG,1941,14358089
Argentina,ARG,1942,14630369
Argentina,ARG,1943,14912438
Argentina,ARG,1944,15199944
Argentina,ARG,1945,15492994
Argentina,ARG,1946,15791693
Argentina,ARG,1947,16096152
Argentina,ARG,1948,16406480
Argentina,ARG,1949,16720391
Argentina,ARG,1950,17017748
Argentina,ARG,1951,17354614
Argentina,ARG,1952,17693856
Argentina,ARG,1953,18032748
Argentina,ARG,1954,18369248
Argentina,ARG,1955,18700684
Argentina,ARG,1956,19031200
Argentina,ARG,1957,19363792
Argentina,ARG,1958,19695358
Argentina,ARG,1959,20024528
Argentina,ARG,1960,20349748
Argentina,ARG,1961,20680658
Argentina,ARG,1962,21020364
Argentina,ARG,1963,21364018
Argentina,ARG,1964,21708488
Argentina,ARG,1965,22053662
Argentina,ARG,1966,22403120
Argentina,ARG,1967,22757014
Argentina,ARG,1968,23112976
Argentina,ARG,1969,23472030
Argentina,ARG,1970,23842804
Argentina,ARG,1971,24223380
Argentina,ARG,1972,24612798
Argentina,ARG,1973,25020592
Argentina,ARG,1974,25449752
Argentina,ARG,1975,25875562
Argentina,ARG,1976,26290258
Argentina,ARG,1977,26713780
Argentina,ARG,1978,27146124
Argentina,ARG,1979,27584138
Argentina,ARG,1980,28024808
Argentina,ARG,1981,28471284
Argentina,ARG,1982,28922768
Argentina,ARG,1983,29377144
Argentina,ARG,1984,29832200
Argentina,ARG,1985,30287120
Argentina,ARG,1986,30748332
Argentina,ARG,1987,31216450
Argentina,ARG,1988,31690790
Argentina,ARG,1989,32165770
Argentina,ARG,1990,32637658
Argentina,ARG,1991,33105766
Argentina,ARG,1992,33568280
Argentina,ARG,1993,34027240
Argentina,ARG,1994,34488696
Argentina,ARG,1995,34946116
Argentina,ARG,1996,35389360
Argentina,ARG,1997,35815968
Argentina,ARG,1998,36233196
Argentina,ARG,1999,36653032
Argentina,ARG,2000,37070772
Argentina,ARG,2001,37480492
Argentina,ARG,2002,37885024
Argentina,ARG,2003,38278164
Argentina,ARG,2004,38668796
Argentina,ARG,2005,39070504
Argentina,ARG,2006,39476856
Argentina,ARG,2007,39876116
Argentina,ARG,2008,40273768
Argentina,ARG,2009,40684344
Argentina,ARG,2010,41100124
Argentina,ARG,2011,41520736
Argentina,ARG,2012,41952364
Argentina,ARG,2013,42388268
Argentina,ARG,2014,42824064
Argentina,ARG,2015,43257064
Argentina,ARG,2016,43668236
Argentina,ARG,2017,44054616
Argentina,ARG,2018,44413592
Argentina,ARG,2019,44745516
Argentina,ARG,2020,45036032
Argentina,ARG,2021,45276788
